,airport,city,state,flights_out,flights_in,flights_total,passengers_out,passengers_in,passengers_total,lat,lng
195,ERI,"Erie, PA",PA,75072,80353,155425,2493802,2481169,4974971,42.12922409999999,-80.085059
196,ESC,"Escanaba, MI",MI,10348,10106,20454,94148,94497,188645,45.74524659999999,-87.06458010000001
197,ESF,"Alexandria, LA",LA,10043,10080,20123,137559,139104,276663,31.3112936,-92.4451371
198,EUG,"Eugene, OR",OR,168041,164553,332594,5276084,5311327,10587411,44.0520691,-123.0867536
199,EVV,"Evansville, IN",IN,141794,142777,284571,3206955,3201560,6408515,37.9715592,-87.5710898
200,EWN,"New Bern, NC",NC,25194,26029,51223,688440,699249,1387689,35.108493,-77.04411429999999
201,EWR,"Newark, NJ",NJ,2812880,2807184,5620064,209125924,209082988,418208912,40.735657,-74.1723667
202,EYW,"Key West, FL",FL,114097,115920,230017,2707206,2639557,5346763,24.5550593,-81.7799871
203,FAI,"Fairbanks, AK",AK,111392,115119,226511,6594262,6764809,13359071,64.8377778,-147.7163888
204,FAR,"Fargo, ND",ND,69228,69853,139081,4061746,4060752,8122498,46.8771863,-96.7898034
205,FAT,"Fresno, CA",CA,221588,222593,444181,6716766,6689869,13406635,36.7377981,-119.7871247
206,FAY,"Fayetteville, NC",NC,85373,85700,171073,2932464,2914913,5847377,35.0526641,-78.87835849999999
207,FBK,"Fairbanks, AK",AK,437,493,922,3740,3856,7592,64.8377778,-147.7163888
208,FCA,"Kalispell, MT",MT,80398,80370,160768,3051746,3037236,6088982,48.1919889,-114.316813
209,FCH,"Fresno, CA",CA,3,3,6,0,0,0,36.7377981,-119.7871247
210,FDY,"Findlay, OH",OH,299,561,855,0,2,2,41.04422,-83.6499321
211,FEP,"Freeport, IL",IL,2,1,2,0,0,0,42.2966861,-89.6212271
212,FET,"Fremont, NE",NE,3,1,2,0,0,0,41.4333909,-96.49814669999999
213,FFM,"Fergus Falls, MN",MN,8,8,16,0,0,0,46.2835212,-96.0777887
214,FFO,"Dayton, OH",OH,18,6,13,868,513,993,39.7589478,-84.1916069
215,FFT,"Frankfort, KY",KY,3,2,4,0,0,0,38.2009055,-84.87328350000001
216,FLG,"Flagstaff, AZ",AZ,30079,30896,60975,508753,521454,1030207,35.1982836,-111.651302
217,FLL,"Fort Lauderdale, FL",FL,1176411,1177995,2354406,124401914,123841609,248243523,26.1224386,-80.13731740000001
218,FLO,"Florence, SC",SC,32580,32722,65302,569758,561066,1130824,34.1954331,-79.7625625
219,FMN,"Farmington, NM",NM,32136,32151,64283,213282,190770,403958,36.72805830000001,-108.2186856
220,FNT,"Flint, MI",MI,128100,127983,256083,5464683,5376421,10841104,43.0125274,-83.6874562
221,FOD,"Fort Dodge, IA",IA,13429,13506,26933,112983,112226,225045,42.4974694,-94.16801579999999
222,FOE,"Topeka, KS",KS,1718,1748,3458,55633,56976,111798,39.0473451,-95.67515759999999
223,FSD,"Sioux Falls, SD",SD,117139,115593,232732,4983960,4934326,9918286,43.5473028,-96.728333
224,FSM,"Fort Smith, AR",AR,58614,58887,117501,1173834,1171610,2345444,35.3859242,-94.39854749999999
225,FTW,"Dallas, TX",TX,699,754,1445,11513,10706,22053,32.7766642,-96.79698789999999
226,FTY,"Atlanta, GA",GA,6,4,8,20,5,11,33.7489954,-84.3879824
227,FVS,"Rexburg, ID",ID,1,3,4,0,0,0,43.8231096,-111.7924237
228,FWA,"Fort Wayne, IN",IN,202691,202472,405163,5500044,5447551,10947595,41.079273,-85.1393513
229,FWH,"Dallas, TX",TX,11,5,10,380,145,268,32.7766642,-96.79698789999999
230,FXE,"Fort Lauderdale, FL",FL,8,5,10,23,5,18,26.1224386,-80.13731740000001
231,FYV,"Fayetteville, AR",AR,42689,42967,85654,905815,900633,1806363,36.082156,-94.17185420000001
232,GAD,"Gadsden, AL",AL,4,5,9,0,0,0,34.014264,-86.0066386
233,GBD,"Great Bend, KS",KS,5595,5542,11137,24371,23944,48315,38.3644567,-98.7648073
234,GBG,"Galesburg, IL",IL,2,2,4,0,0,0,40.94781580000001,-90.3712395
235,GCC,"Gillette, WY",WY,7009,7754,14763,35053,60953,96006,44.2910915,-105.5022205
236,GCK,"Garden City, KS",KS,9441,10499,19940,39856,40985,80841,37.9716898,-100.8726618
237,GCY,"Greeneville, TN",TN,5,3,6,0,0,0,36.1631574,-82.83098609999999
238,GDC,"Greenville, SC",SC,107,62,134,118,89,207,34.85261759999999,-82.3940104
239,GEG,"Spokane, WA",WA,449890,456994,906884,23872037,23712724,47584761,47.6587802,-117.4260465
240,GFK,"Grand Forks, ND",ND,53857,50963,104820,1725966,1729950,3455916,47.9252568,-97.0328547
241,GFL,"Glens Falls, NY",NY,5,5,8,32,32,59,43.3095164,-73.6440058
242,GGE,"Georgetown, SC",SC,1,1,2,0,0,0,33.376834,-79.2944964
243,GGG,"Longview, TX",TX,24592,24705,49296,407779,395673,803368,32.5007037,-94.74048909999999
244,GJT,"Grand Junction, CO",CO,28241,28422,56647,767294,783992,1550079,39.0638705,-108.5506486
245,GLH,"Greenville, MS",MS,5501,5505,11005,64366,62674,127040,33.399661,-91.0377029
246,GLW,"Glasgow, KY",KY,3,0,0,0,0,0,36.9958839,-85.91192149999999
247,GMU,"Greenville, SC",SC,28,16,35,0,0,0,34.85261759999999,-82.3940104
248,GNV,"Gainesville, FL",FL,74905,77288,152193,2639124,2656218,5295342,29.6516344,-82.32482619999999
249,GPT,"Gulfport, MS",MS,105226,105582,210808,4830137,4801072,9631209,30.3674198,-89.0928155
250,GRB,"Green Bay, WI",WI,168772,169089,337861,6749419,6778126,13527545,44.5133188,-88.0132958
251,GRD,"Greenwood, SC",SC,2,1,2,0,0,0,34.1954001,-82.1617883
252,GRF,"Tacoma, WA",WA,3,1,4,0,68,68,47.2528768,-122.4442906
253,GRI,"Grand Island, NE",NE,7288,7787,15070,54179,52107,105694,40.9263957,-98.3420118
254,GRK,"Killeen, TX",TX,33710,33782,67486,982168,989270,1971253,31.1171194,-97.72779589999999
255,GRR,"Grand Rapids, MI",MI,345973,346606,692579,16613658,16432889,33046547,42.9633599,-85.6680863
256,GSB,"Goldsboro, NC",NC,19,15,29,2289,138,2371,35.3848841,-77.9927651
257,GSO,"Greensboro, NC",NC,495986,494462,990448,24155950,24049650,48205600,36.0726354,-79.7919754
258,GSP,"Greenville, SC",SC,293229,294981,588210,12386787,12152368,24539155,34.85261759999999,-82.3940104
259,GTF,"Great Falls, MT",MT,108464,108414,216878,3901484,3900678,7802162,47.5052849,-111.3007715
260,GTR,"Columbus, MS",MS,38369,38531,76900,668026,673754,1341780,33.4956744,-88.4272627
261,GUP,"Gallup, NM",NM,9384,6269,15653,17939,45031,62970,35.5280783,-108.7425843
262,GUS,"Peru, IN",IN,8,8,16,0,7,7,40.7536528,-86.0688811
263,GVL,"Gainesville, GA",GA,12,2,4,0,0,0,34.2978794,-83.8240663
264,GWO,"Greenwood, MS",MS,9,7,12,45,44,85,33.5162315,-90.1795281
265,GYY,"Gary, IN",IN,2138,2122,4243,90158,88433,177322,41.6020403,-87.3371523
266,HBG,"Hattiesburg, MS",MS,1,0,0,0,0,0,31.3271189,-89.29033919999999
267,HCA,"Big Spring, TX",TX,1,0,0,0,0,0,32.2503979,-101.4787355
268,HFD,"Hartford, CT",CT,3,3,6,12,12,24,41.7658043,-72.6733723
269,HGR,"Hagerstown, MD",MD,9852,9852,19704,83669,82576,166245,39.6417629,-77.71999319999999
270,HIF,"Ogden, UT",UT,62,48,101,2980,3137,5824,41.223,-111.9738304
271,HII,"Lake Havasu City, AZ",AZ,9844,10391,20235,55622,68235,123857,34.483901,-114.3224548
272,HIK,"Honolulu, HI",HI,52,31,59,2543,2015,3671,21.3069444,-157.8583333
273,HKS,"Jackson, MS",MS,44,69,105,0,0,0,32.2987573,-90.1848103
274,HKY,"Hickory, NC",NC,750,745,1491,12199,11947,24146,35.7344538,-81.3444573
275,HLG,"Wheeling, WV",WV,1,1,2,2,0,2,40.0639616,-80.7209149
276,HLM,"Holland, MI",MI,20,8,15,2,0,0,42.7875235,-86.1089301
277,HLN,"Helena, MT",MT,70634,70837,141471,2126438,2088488,4214926,46.5891452,-112.0391057
278,HMN,"Alamogordo, NM",NM,27,21,39,838,629,1413,32.8995325,-105.960265
279,HNL,"Honolulu, HI",HI,904335,908503,1812838,117481585,118876582,236358167,21.3069444,-157.8583333
280,HOB,"Hobbs, NM",NM,7411,7413,14772,20947,14705,35529,32.7026116,-103.1360403
281,HON,"Huron, SD",SD,4300,4218,8467,15041,14758,29660,44.3633173,-98.21425719999999
282,HOT,"Hot Springs, AR",AR,8603,8604,17206,41106,51610,92716,34.5037004,-93.0551795
283,HOU,"Houston, TX",TX,1129400,1130122,2259522,87370101,87436787,174806888,29.7604267,-95.3698028
284,HRO,"Harrison, AR",AR,5458,5264,10721,25736,20124,45857,36.2297936,-93.1076765
285,HSH,"Las Vegas, NV",NV,4,1,2,23,6,16,36.1699412,-115.1398296
286,HSI,"Hastings, NE",NE,2,2,4,0,0,0,40.5862583,-98.38987259999999
287,HSV,"Huntsville, AL",AL,210326,211836,422162,9710473,9696816,19407289,34.7303688,-86.5861037
288,HUF,"Terre Haute, IN",IN,1224,1214,2426,12997,13629,26331,39.4667034,-87.41390919999999
289,HUM,"Houma, LA",LA,2,2,4,0,0,0,29.5957696,-90.71953479999999
290,HUT,"Hutchinson, KS",KS,4,4,8,0,0,0,38.0608445,-97.92977429999999
291,HVN,"New Haven, CT",CT,24543,22828,47371,634800,570339,1205139,41.308274,-72.9278835
292,HVR,"Havre, MT",MT,645,624,1263,1193,1057,2233,48.549999,-109.6840887
293,HYS,"Hays, KS",KS,4729,4773,9500,25445,23294,48724,38.8791783,-99.3267702
294,IAB,"Wichita, KS",KS,53,28,57,78,0,0,37.68717609999999,-97.33005299999999
295,IAD,"Washington, DC",DC,1667032,1664712,3331744,107362903,107805548,215168451,38.9071923,-77.0368707
296,IAH,"Houston, TX",TX,3194969,3196675,6391644,228364108,229101660,457465768,29.7604267,-95.3698028
297,ICT,"Wichita, KS",KS,256136,256589,512725,10726014,10748719,21474733,37.68717609999999,-97.33005299999999
298,IDA,"Idaho Falls, ID",ID,48449,48458,96875,1710543,1625924,3335690,43.5427278,-111.8431068
299,II2,"Chicago, IL",IL,2,2,4,0,0,0,41.8781136,-87.6297982
300,IKK,"Kankakee, IL",IL,1,1,2,0,0,0,41.1200325,-87.8611531
301,ILE,"Killeen, TX",TX,57275,57464,114739,917212,939512,1856724,31.1171194,-97.72779589999999
302,ILG,"Wilmington, DE",DE,999,1062,2051,24006,23570,47553,39.744655,-75.5483909
303,ILM,"Wilmington, NC",NC,104315,105955,210270,4547175,4486316,9033491,34.2103894,-77.8868117
304,ILN,"Wilmington, OH",OH,154501,152431,306878,33,36,69,39.4453393,-83.8285375
305,IMT,"Iron Mountain, MI",MI,9439,10376,19815,67689,67607,135296,45.8202334,-88.0659603
306,IN1,"Auburn, IN",IN,6,4,8,0,0,0,41.3669942,-85.0588575
307,IND,"Indianapolis, IN",IN,1055355,1057351,2112706,64845494,64680427,129525921,39.768403,-86.158068
308,IPL,"El Centro, CA",CA,10996,9949,20945,76118,79171,155289,32.792,-115.5630514
309,IPT,"Williamsport, PA",PA,16499,16382,32881,226252,221590,447842,41.2411897,-77.00107860000001
310,IRK,"Kirksville, MO",MO,4527,4541,9068,12366,11198,23564,40.19475389999999,-92.5832496
311,IRS,"Sturgis, MI",MI,8,1,2,0,0,0,41.799217,-85.41914820000001
312,ISM,"Orlando, FL",FL,4,4,8,0,0,0,28.5383355,-81.3792365
313,ISN,"Williston, ND",ND,7796,8348,16144,50018,53045,103063,48.1469683,-103.6179745
314,ISO,"Kinston, NC",NC,3732,3717,7447,128361,118980,247286,35.2626635,-77.5816353
315,ITH,"Ithaca, NY",NY,50507,50613,101120,1463747,1438748,2902495,42.4439614,-76.5018807
316,ITO,"Hilo, HI",HI,194946,201861,396807,13648023,14199240,27847263,19.7241106,-155.0868193
317,JAC,"Jackson, WY",WY,37353,37977,75328,2411881,2388178,4799789,43.4799291,-110.7624282
318,JAN,"Jackson, MS",MS,236475,236869,473344,12797741,12758463,25556204,32.2987573,-90.1848103
319,JAX,"Jacksonville, FL",FL,592931,590547,1183478,44864205,44798623,89662828,30.3321838,-81.65565099999999
320,JBR,"Jonesboro, AR",AR,3637,3547,7184,15864,11224,27088,35.84229670000001,-90.704279
321,JEF,"Jefferson City, MO",MO,7,4,8,45,45,90,38.57670170000001,-92.1735164
322,JFK,"New York, NY",NY,1619529,1623036,3242565,139755676,141013374,280769050,40.7127753,-74.0059728
323,JHW,"Jamestown, NY",NY,15591,15413,31004,104368,103922,208290,42.0970023,-79.23532589999999
324,JLN,"Joplin, MO",MO,27269,27338,54607,315417,308328,623745,37.08422710000001,-94.51328099999999
325,JMS,"Jamestown, ND",ND,4238,4886,9123,21077,27129,48176,46.9105438,-98.7084357
326,JNU,"Juneau, AK",AK,61422,60891,122313,4416439,4325642,8742081,58.3019444,-134.4197221
327,JRA,"New York, NY",NY,125,359,480,0,0,0,40.7127753,-74.0059728
328,JRB,"New York, NY",NY,5207,6322,11529,8094,3084,11178,40.7127753,-74.0059728
329,JSE,"Juneau, AK",AK,106,126,232,0,4,4,58.3019444,-134.4197221
330,JST,"Johnstown, PA",PA,10018,10209,20227,73433,68603,142036,40.32674069999999,-78.9219698
331,JXN,"Jackson, MI",MI,33,20,41,0,0,0,42.1764362,-84.3542049
332,JZU,"Bennington, VT",VT,2,0,0,2,0,0,42.8781345,-73.1967741
333,KDK,"Kodiak, AK",AK,6,3,5,11,0,8,57.79000000000001,-152.4072221
334,KTN,"Ketchikan, AK",AK,51571,54109,105680,2589509,2761752,5351261,55.34222219999999,-131.6461112
335,KY1,"Danville, KY",KY,5,1,2,0,0,0,37.6456329,-84.77217019999999
336,KY3,"Mount Sterling, KY",KY,4,0,0,0,0,0,38.0564679,-83.9432556
337,KY5,"Madisonville, KY",KY,14,0,0,0,0,0,37.32810050000001,-87.4988882
338,LAF,"Lafayette, IN",IN,7215,7438,14653,89913,93388,183301,40.4167022,-86.87528689999999
339,LAL,"Lakeland, FL",FL,5,4,8,90,84,172,28.0394654,-81.9498042
340,LAM,"Los Alamos, NM",NM,293,307,600,783,423,1206,35.8800364,-106.3031138
341,LAN,"Lansing, MI",MI,125391,125744,251135,4729550,4532453,9262003,42.732535,-84.5555347
342,LAR,"Laramie, WY",WY,859,881,1728,9199,8520,17665,41.3113669,-105.5911007
343,LAS,"Las Vegas, NV",NV,2522172,2518492,5040664,270577684,269133327,539711011,36.1699412,-115.1398296
344,LAW,"Lawton, OK",OK,53138,53403,106541,938218,932991,1871209,34.6035669,-98.39592909999999
